,accuracy
Vincent van Gogh,0.0
Claude Monet,6.666666666666667
Rembrandt,3.3333333333333335
Raphael,0.0
Paul Cézanne,6.666666666666667
Albrecht Dürer,0.0
Paul Gauguin,0.0
Gustav Klimt,0.0
Francisco Goya,0.0
Pierre-Auguste Renoir,3.3333333333333335
Peter Paul Rubens,0.0
Auguste Rodin,6.666666666666667
Frida Kahlo,0.0
Titian,3.3333333333333335
Edgar Degas,0.0
Édouard Manet,3.3333333333333335
Edvard Munch,0.0
Diego Rivera,6.666666666666667
Eugène Delacroix,0.0
Henri de Toulouse-Lautrec,6.666666666666667
William Blake,10.0
Paul Klee,3.3333333333333335
El Greco,0.0
Sandro Botticelli,13.333333333333334
J. M. W. Turner,6.666666666666667
Osamu Tezuka,13.333333333333334
Gustave Courbet,3.3333333333333335
Hokusai,0.0
Camille Pissarro,6.666666666666667
Giorgio Vasari,0.0
Michelangelo,0.0
Leonardo da Vinci,0.0
Egon Schiele,0.0
JR,0.0
Georgia O'Keeffe,6.666666666666667
Hiroshige,0.0
Tintoretto,3.3333333333333335
Anthony van Dyck,0.0
John Singer Sargent,3.3333333333333335
Amedeo Modigliani,6.666666666666667
Fernando Botero,3.3333333333333335
Nicolas Poussin,3.3333333333333335
Paolo Veronese,3.3333333333333335
Norman Rockwell,0.0
Joaquín Sorolla,3.3333333333333335
Jean-Baptiste-Camille Corot,0.0
Lucas Cranach the Elder,0.0
Utagawa Kuniyoshi,3.3333333333333335
Mary Cassatt,3.3333333333333335
François Boucher,3.3333333333333335
Hans Holbein the Younger,3.3333333333333335
Caspar David Friedrich,13.333333333333334
Zhao Mengfu,0.0
John Constable,3.3333333333333335
Nicholas Roerich,3.3333333333333335
Dante Gabriel Rossetti,3.3333333333333335
Shepard Fairey,3.3333333333333335
Wassily Kandinsky,3.3333333333333335
Giovanni Battista Tiepolo,6.666666666666667
Ernst Ludwig Kirchner,0.0
Honoré Daumier,6.666666666666667
Alfred Sisley,3.3333333333333335
Johannes Vermeer,0.0
Odilon Redon,6.666666666666667
William Hogarth,0.0
James Abbott McNeill Whistler,0.0
Canaletto,0.0
Georges Seurat,0.0
Guido Reni,0.0
Paul Signac,0.0
Pieter Bruegel the Elder,6.666666666666667
Bartolomé Esteban Murillo,0.0
Jean-Honoré Fragonard,3.3333333333333335
Jean-François Millet,0.0
Francisco de Zurbarán,10.0
Thomas Gainsborough,6.666666666666667
René Lalique,0.0
Utamaro,3.3333333333333335
Yoshitoshi,3.3333333333333335
Winslow Homer,3.3333333333333335
Mario Testino,0.0
Joshua Reynolds,6.666666666666667
Edward Burne-Jones,0.0
Louis Comfort Tiffany,3.3333333333333335
Annibale Carracci,6.666666666666667
Diego Velázquez,0.0
Giorgio de Chirico,3.3333333333333335
Claude Lorrain,0.0
Wen Zhengming,0.0
Caravaggio,3.3333333333333335
Kunisada,3.3333333333333335
Juan Gris,10.0
Eadweard Muybridge,0.0
Édouard Vuillard,3.3333333333333335
Jacques-Louis David,3.3333333333333335
Berthe Morisot,6.666666666666667
Bertel Thorvaldsen,3.3333333333333335
Alfred Stieglitz,3.3333333333333335
Sol LeWitt,0.0
Shitao,0.0
Victor Vasarely,3.3333333333333335
Jean Auguste Dominique Ingres,0.0
Ogata Kōrin,0.0
Eugène Atget,0.0
Eugène Boudin,3.3333333333333335
Henry Fuseli,0.0
Frederic Remington,3.3333333333333335
Jean-Antoine Watteau,3.3333333333333335
Gim Hongdo,6.666666666666667
Kara Walker,3.3333333333333335
Bada Shanren,0.0
Henri Rousseau,0.0
Albert Bierstadt,6.666666666666667
Gordon Parks,0.0
Kenny Scharf,3.3333333333333335
Luca Giordano,3.3333333333333335
Chang Dai-chien,3.3333333333333335
Edward Lear,0.0
Bronzino,6.666666666666667
Henry Fox Talbot,3.3333333333333335
Lucio Fontana,0.0
Gian Lorenzo Bernini,0.0
L. S. Lowry,0.0
John Everett Millais,6.666666666666667
Edward Hopper,3.3333333333333335
Giovanni Bellini,3.3333333333333335
Lovis Corinth,3.3333333333333335
Fornasetti,3.3333333333333335
Franz Marc,3.3333333333333335
Tawaraya Sōtatsu,0.0
Jusepe de Ribera,0.0
Yokoyama Taikan,6.666666666666667
Peder Severin Krøyer,3.3333333333333335
Emily Carr,0.0
Childe Hassam,3.3333333333333335
Anders Zorn,3.3333333333333335
David Teniers the Younger,6.666666666666667
Guercino,3.3333333333333335
Gustave Moreau,0.0
Thomas Eakins,6.666666666666667
Qiu Ying,3.3333333333333335
Alfred Eisenstaedt,3.3333333333333335
Frederic Edwin Church,0.0
Kawanabe Kyōsai,0.0
Maruyama Ōkyo,0.0
Benjamin West,0.0
Émile Gallé,0.0
Charles-François Daubigny,0.0
Ramon Casas,0.0
Andrea Mantegna,6.666666666666667
Dong Qichang,0.0
Jean-Baptiste-Siméon Chardin,3.3333333333333335
Julia Margaret Cameron,10.0
Harunobu Suzuki,6.666666666666667
Hubert Robert,0.0
Santiago Rusiñol,0.0
Hieronymus Bosch,0.0
Hiroshi Yoshida,3.3333333333333335
Jeong Seon,0.0
Antonio Canova,0.0
Max Klinger,3.3333333333333335
Ma Yuan,0.0
Sin Yun-bok,0.0
Marcel Broodthaers,3.3333333333333335
Frederic Leighton,0.0
Utagawa Toyokuni,3.3333333333333335
Zhang Xiaogang,3.3333333333333335
Douglas Coupland,3.3333333333333335
Lee Jung-seob,0.0
Frans Hals,3.3333333333333335
Albrecht Altdorfer,3.3333333333333335
Jan van Eyck,3.3333333333333335
Henri Fantin-Latour,3.3333333333333335
Hendrick Goltzius,0.0
José Guadalupe Posada,0.0
Alessandro Mendini,0.0
Qi Baishi,0.0
Pierre Bonnard,16.666666666666664
George Stubbs,0.0
Jacob Jordaens,0.0
Mathew Brady,6.666666666666667
George Bellows,0.0
Shinsui Itō,0.0
Uemura Shōen,0.0
Martin Schongauer,0.0
Thomas Rowlandson,6.666666666666667
Clyfford Still,0.0
Joseph Wright of Derby,6.666666666666667
John Singleton Copley,3.3333333333333335
Amrita Sher-Gil,0.0
Félix Vallotton,6.666666666666667
Yue Minjun,0.0
Ford Madox Brown,3.3333333333333335
Fra Angelico,0.0
Pietro da Cortona,0.0
Salvador Dalí,6.666666666666667
William Merritt Chase,0.0
Jan Steen,3.3333333333333335
Mi Fu,0.0
Jamini Roy,0.0
Jean-Léon Gérôme,6.666666666666667
Itō Jakuchū,0.0
Lewis Hine,0.0
Jacob van Ruisdael,6.666666666666667
Gustave Caillebotte,3.3333333333333335
Gerhard Richter,0.0
Tang Yin,0.0
Ogata Kenzan,0.0
Ilya Repin,0.0
Gilbert Stuart,0.0
Lorenzo Lotto,3.3333333333333335
Emperor Huizong of Song,0.0
Karl Friedrich Schinkel,3.3333333333333335
Sidney Nolan,3.3333333333333335
Wenceslaus Hollar,3.3333333333333335
Michael Ancher,3.3333333333333335
Graciela Iturbide,0.0
Giovanni Domenico Tiepolo,3.3333333333333335
George Romney,3.3333333333333335
