,accuracy
Gilbert Stuart,0.0
Lorenzo Lotto,3.3333333333333335
Emperor Huizong of Song,0.0
Karl Friedrich Schinkel,6.666666666666667
Sidney Nolan,6.666666666666667
Wenceslaus Hollar,0.0
Michael Ancher,3.3333333333333335
Graciela Iturbide,0.0
Giovanni Domenico Tiepolo,0.0
George Romney,0.0
Xu Bing,6.666666666666667
Marià Fortuny,0.0
Kobayashi Kiyochika,3.3333333333333335
Qian Xuan,0.0
William Morris,0.0
Théophile Steinlen,6.666666666666667
Giotto,3.3333333333333335
Anna Ancher,6.666666666666667
Marcantonio Raimondi,0.0
Duchenne de Boulogne,0.0
Jean-Baptiste Oudry,3.3333333333333335
Johan Christian Dahl,3.3333333333333335
Rogier van der Weyden,0.0
Giovanni Battista Piranesi,6.666666666666667
Stanford White,0.0
August Macke,16.666666666666664
Torii Kiyonaga,0.0
Toyohara Chikanobu,16.666666666666664
William-Adolphe Bouguereau,6.666666666666667
Walker Evans,3.3333333333333335
Charles Willson Peale,3.3333333333333335
Jan Brueghel the Elder,0.0
Charles Le Brun,0.0
Arthur Streeton,0.0
Toyohara Kunichika,0.0
Keisai Eisen,0.0
Félicien Rops,0.0
Alvar Aalto,0.0
El Lissitzky,3.3333333333333335
Abraham Bloemaert,0.0
