,probability
Giovanni Battista Piranesi,0.0018194604199379683
Amrita Sher-Gil,0.0017866494599729776
Edgar Degas,0.0017859082436189055
Jacques-Louis David,0.0017846794798970222
Francisco Goya,0.0017372416332364082
Dong Qichang,0.0017165800090879202
Emily Carr,0.001654825871810317
Anders Zorn,0.001641802373342216
Mary Cassatt,0.0016307802870869637
Francisco de Zurbarán,0.0015994316199794412
Joshua Reynolds,0.0015941341407597065
Edward Burne-Jones,0.0015918670687824488
Shepard Fairey,0.0015399307012557983
Diego Velázquez,0.001517383847385645
Alfred Sisley,0.0014984834706410766
William Merritt Chase,0.0014857042115181684
John Singer Sargent,0.0014834494795650244
Edvard Munch,0.0014738526660948992
Paul Klee,0.0014680882450193167
Albrecht Dürer,0.0014616160187870264
Pietro da Cortona,0.0014605959877371788
Raphael,0.001437640399672091
Édouard Vuillard,0.0014057584339752793
Arthur Streeton,0.0013916302705183625
Gilbert Stuart,0.0013542021624743938
Rembrandt,0.001336359535343945
John Singleton Copley,0.0013351993402466178
El Lissitzky,0.0013291895156726241
James Abbott McNeill Whistler,0.0013092071749269962
Thomas Eakins,0.001267452840693295
Ford Madox Brown,0.0012192161520943046
Hans Holbein the Younger,0.0012148726964369416
William Hogarth,0.0012083678739145398
Wenceslaus Hollar,0.001185961184091866
Gustave Moreau,0.0011821923544630408
Mathew Brady,0.0011423045070841908
Pierre Bonnard,0.0011402422096580267
Paul Cézanne,0.0011399438371881843
Amedeo Modigliani,0.0011356627801433206
Caravaggio,0.0011226128553971648
Frederic Remington,0.0011073363712057471
Shinsui Itō,0.001099158194847405
Auguste Rodin,0.001080366550013423
Ramon Casas,0.0010793502442538738
John Everett Millais,0.0010687358444556594
Jan Steen,0.001065464224666357
Kunisada,0.0010438627796247602
Abraham Bloemaert,0.0010299283312633634
George Romney,0.0010052173165604472
Guido Reni,0.0009871022775769234
Jean-François Millet,0.0009864118183031678
Norman Rockwell,0.000977748422883451
Henri de Toulouse-Lautrec,0.0009671001462265849
Rogier van der Weyden,0.0009637868497520685
Ernst Ludwig Kirchner,0.0009527688380330801
Antonio Canova,0.0009208769188262522
Luca Giordano,0.0008964159642346203
Joaquín Sorolla,0.0008957352838478982
William Morris,0.0008791657164692879
Dante Gabriel Rossetti,0.0008736644522286952
Fra Angelico,0.0008105117012746632
Gian Lorenzo Bernini,0.0008048642775975168
Victor Vasarely,0.0008005164563655853
Peter Paul Rubens,0.0007904879748821259
François Boucher,0.0007285118917934597
Charles Le Brun,0.0007076094625517726
Berthe Morisot,0.0007051274296827614
Clyfford Still,0.000690550310537219
Henri Fantin-Latour,0.0006196589674800634
Henry Fuseli,0.0006040628650225699
Honoré Daumier,0.000596651341766119
Julia Margaret Cameron,0.0005865070270374417
Bartolomé Esteban Murillo,0.0005141108413226902
Guercino,0.0005023062112741172
Jean-Baptiste-Siméon Chardin,0.000495496264193207
Hubert Robert,0.0004918478662148118
Thomas Rowlandson,0.00047526462003588676
Kawanabe Kyōsai,0.00047389199608005583
Qi Baishi,0.0004511659499257803
El Greco,0.0004504824464675039
Jamini Roy,0.0003980540204793215
Bronzino,0.0003702759859152138
Lovis Corinth,0.0003638317284639925
Hendrick Goltzius,0.0003611505380831659
Félicien Rops,0.0003603232034947723
Anthony van Dyck,0.0003481576859485358
Frans Hals,0.0003214391181245446
Egon Schiele,0.00031215010676532984
Martin Schongauer,0.00031128284172154963
Utamaro,0.00030934918322600424
Jusepe de Ribera,0.00024019976262934506
Jacob Jordaens,0.00020628863421734422
Lucio Fontana,0.00018804143473971635
