,probability
Canaletto,0.030043333768844604
George Stubbs,0.028287464752793312
Jean-Léon Gérôme,0.023777175694704056
Alessandro Mendini,0.021995000541210175
Claude Lorrain,0.02167155221104622
Walker Evans,0.01866532489657402
Henri Rousseau,0.01559523306787014
Félix Vallotton,0.01433827169239521
Albert Bierstadt,0.013296054676175117
Hiroshi Yoshida,0.013043482787907124
Karl Friedrich Schinkel,0.012032797560095787
Alfred Eisenstaedt,0.012024767696857452
Kenny Scharf,0.011777546256780624
Georgia O'Keeffe,0.010534432716667652
Théophile Steinlen,0.010485727339982986
Itō Jakuchū,0.010310313664376736
Nicholas Roerich,0.010219580493867397
Yokoyama Taikan,0.010186783969402313
Frederic Edwin Church,0.009923401288688183
Jeong Seon,0.009816525503993034
Joseph Wright of Derby,0.009737192653119564
Salvador Dalí,0.009467693977057934
Chang Dai-chien,0.009440992958843708
Gordon Parks,0.008979737758636475
J. M. W. Turner,0.008673732168972492
Lorenzo Lotto,0.008318363688886166
Xu Bing,0.008294085040688515
Sin Yun-bok,0.008061857894062996
Bertel Thorvaldsen,0.007526040077209473
Mario Testino,0.007495292462408543
Hiroshige,0.007407552562654018
Albrecht Altdorfer,0.007224336266517639
Maruyama Ōkyo,0.007174466270953417
Graciela Iturbide,0.006840248592197895
Gerhard Richter,0.006663589738309383
Alfred Stieglitz,0.006656757090240717
Claude Monet,0.006523141637444496
Georges Seurat,0.006479034665971994
Pieter Bruegel the Elder,0.006447177845984697
Max Klinger,0.006420128513127565
Giovanni Bellini,0.006219652481377125
Lewis Hine,0.006205753423273563
Vincent van Gogh,0.006188585888594389
David Teniers the Younger,0.006079697981476784
Tang Yin,0.006067593581974506
Wen Zhengming,0.005966566503047943
Zhang Xiaogang,0.00582400755956769
Tawaraya Sōtatsu,0.005814292002469301
Michael Ancher,0.0057491399347782135
Charles-François Daubigny,0.005581395700573921
George Bellows,0.00556035665795207
Mi Fu,0.005463223438709974
Jean-Baptiste Oudry,0.00546284718438983
Émile Gallé,0.005449673626571894
Zhao Mengfu,0.0054454742930829525
Johannes Vermeer,0.005396084859967232
Qian Xuan,0.005314473994076252
Lee Jung-seob,0.005303480662405491
Hieronymus Bosch,0.005288172047585249
Jan van Eyck,0.005278673022985458
Childe Hassam,0.005275471601635218
Yoshitoshi,0.005264533683657646
August Macke,0.005188370123505592
Ogata Kōrin,0.005143171176314354
Jan Brueghel the Elder,0.005103417206555605
Johan Christian Dahl,0.005082686431705952
Henry Fox Talbot,0.004900027997791767
Santiago Rusiñol,0.0048799067735672
Stanford White,0.004848867189139128
Qiu Ying,0.004826911725103855
Giorgio de Chirico,0.004817413166165352
Marià Fortuny,0.004797614179551601
Charles Willson Peale,0.004792302846908569
Leonardo da Vinci,0.004683162551373243
Winslow Homer,0.004682473372668028
Eugène Boudin,0.004655257798731327
Fernando Botero,0.004652233328670263
Marcel Broodthaers,0.0046402458101511
Uemura Shōen,0.004609548486769199
Camille Pissarro,0.0045598531141877174
Jean Auguste Dominique Ingres,0.004546542651951313
Utagawa Toyokuni,0.004497793968766928
Edward Lear,0.004464621189981699
Hokusai,0.004435715265572071
Bada Shanren,0.004411415662616491
JR,0.00440940959379077
Eugène Atget,0.004408049862831831
Jacob van Ruisdael,0.0044070761650800705
Paul Gauguin,0.004378806333988905
Wassily Kandinsky,0.004336627200245857
Gim Hongdo,0.004332618787884712
Paul Signac,0.004307633265852928
Yue Minjun,0.004269227851182222
Keisai Eisen,0.004204883705824614
Diego Rivera,0.004062851890921593
Gustave Caillebotte,0.004056096542626619
Emperor Huizong of Song,0.003949362318962812
Toyohara Chikanobu,0.0038181848358362913
Titian,0.0038148928433656693
Giotto,0.0037521831691265106
Peder Severin Krøyer,0.0037244665436446667
Caspar David Friedrich,0.003665461903437972
Kobayashi Kiyochika,0.0036332374438643456
Harunobu Suzuki,0.0035750167444348335
Duchenne de Boulogne,0.003500688588246703
Louis Comfort Tiffany,0.0034892463590949774
Pierre-Auguste Renoir,0.003439065534621477
Giovanni Battista Tiepolo,0.003429194213822484
Annibale Carracci,0.0033945045433938503
Thomas Gainsborough,0.0033020677510648966
Odilon Redon,0.0031850766390562057
Frederic Leighton,0.0031696571968495846
Sol LeWitt,0.003101646900177002
John Constable,0.0030389660969376564
Benjamin West,0.0030238076578825712
Giorgio Vasari,0.0029570155311375856
Frida Kahlo,0.0029357855673879385
Sandro Botticelli,0.0029163104481995106
Osamu Tezuka,0.0028196496423333883
Giovanni Domenico Tiepolo,0.002791617065668106
Marcantonio Raimondi,0.002733873203396797
Gustave Courbet,0.002722023520618677
Ma Yuan,0.0027032792568206787
Torii Kiyonaga,0.0026964496355503798
Shitao,0.002615870675072074
René Lalique,0.002602344611659646
Jean-Honoré Fragonard,0.002567595336586237
Eugène Delacroix,0.0025617722421884537
Kara Walker,0.0025602083187550306
Franz Marc,0.0025509288534522057
Jean-Antoine Watteau,0.0025503356009721756
Alvar Aalto,0.0024896084796637297
Ogata Kenzan,0.0024772488977760077
Fornasetti,0.002455875277519226
Jean-Baptiste-Camille Corot,0.002433585003018379
William-Adolphe Bouguereau,0.0024297290947288275
Andrea Mantegna,0.0023881362285465
Lucas Cranach the Elder,0.002373023657128215
Douglas Coupland,0.002363701816648245
L. S. Lowry,0.0023600838612765074
Tintoretto,0.002317212987691164
Anna Ancher,0.0022559266071766615
Gustav Klimt,0.0022334433160722256
Utagawa Kuniyoshi,0.0021496224217116833
José Guadalupe Posada,0.002121498342603445
Nicolas Poussin,0.0021106295753270388
Sidney Nolan,0.0020633754320442677
Édouard Manet,0.0020087966695427895
Eadweard Muybridge,0.0019479417242109776
Toyohara Kunichika,0.0019474020227789879
Ilya Repin,0.0019398563308641315
Edward Hopper,0.0019181480165570974
William Blake,0.00191031105350703
Paolo Veronese,0.0019064047373831272
Michelangelo,0.0019050604896619916
Juan Gris,0.0018925671465694904
