,accuracy
Qian Xuan,3.3333333333333335
William Morris,0.0
Théophile Steinlen,0.0
Giotto,6.666666666666667
Anna Ancher,6.666666666666667
Marcantonio Raimondi,0.0
Duchenne de Boulogne,3.3333333333333335
Jean-Baptiste Oudry,0.0
Johan Christian Dahl,0.0
Rogier van der Weyden,0.0
Giovanni Battista Piranesi,0.0
Stanford White,3.3333333333333335
August Macke,3.3333333333333335
Torii Kiyonaga,6.666666666666667
Toyohara Chikanobu,0.0
William-Adolphe Bouguereau,3.3333333333333335
Walker Evans,3.3333333333333335
Charles Willson Peale,0.0
Jan Brueghel the Elder,0.0
Charles Le Brun,3.3333333333333335
Arthur Streeton,0.0
Toyohara Kunichika,0.0
Keisai Eisen,0.0
Félicien Rops,3.3333333333333335
Alvar Aalto,0.0
El Lissitzky,3.3333333333333335
Abraham Bloemaert,0.0
