,accuracy
Hui Zou,0.0
jungmin jin /dospi,0.0
Jeremy chong,0.0
Zumi Draws,0.0
Peter Xiao,0.0
c home,0.0
Betty Jiang,0.0
Ren Wei Pan,0.0
Jesper Ejsing,0.0
Aoi Ogata,6.666666666666667
Chocofing R,0.0
JC Jongwon Park,0.0
Mikhail Rakhmatullin,0.0
Aleksandr Nikonov,0.0
YU YIMING,0.0
Samuel Smith,0.0
Ian Spriggs,0.0
Lin Chang,0.0
John Grello,0.0
N I X E U,3.4482758620689653
