,accuracy
Walker Evans,6.666666666666667
Charles Willson Peale,13.333333333333334
Jan Brueghel the Elder,3.3333333333333335
Charles Le Brun,0.0
Arthur Streeton,0.0
Toyohara Kunichika,0.0
Keisai Eisen,0.0
Félicien Rops,3.3333333333333335
Alvar Aalto,0.0
El Lissitzky,3.3333333333333335
Abraham Bloemaert,3.3333333333333335
