,accuracy
Lorenzo Lotto,3.3333333333333335
Emperor Huizong of Song,0.0
Karl Friedrich Schinkel,6.666666666666667
Sidney Nolan,10.0
Wenceslaus Hollar,0.0
Michael Ancher,3.3333333333333335
Graciela Iturbide,0.0
Giovanni Domenico Tiepolo,0.0
George Romney,3.3333333333333335
Xu Bing,3.3333333333333335
Marià Fortuny,0.0
Kobayashi Kiyochika,3.3333333333333335
Qian Xuan,0.0
William Morris,0.0
Théophile Steinlen,3.3333333333333335
Giotto,3.3333333333333335
Anna Ancher,6.666666666666667
Marcantonio Raimondi,0.0
Duchenne de Boulogne,3.3333333333333335
Jean-Baptiste Oudry,0.0
Johan Christian Dahl,0.0
Rogier van der Weyden,0.0
Giovanni Battista Piranesi,10.0
Stanford White,0.0
August Macke,6.666666666666667
Torii Kiyonaga,10.0
Toyohara Chikanobu,3.3333333333333335
William-Adolphe Bouguereau,0.0
Walker Evans,6.666666666666667
Charles Willson Peale,0.0
Jan Brueghel the Elder,0.0
Charles Le Brun,3.3333333333333335
Arthur Streeton,0.0
Toyohara Kunichika,13.333333333333334
Keisai Eisen,0.0
Félicien Rops,0.0
Alvar Aalto,0.0
El Lissitzky,0.0
Abraham Bloemaert,3.3333333333333335
